[SISTEMA] Nave PID 1215 destruida sin recursos. Convertida en asteroide en pos (40, 6).
[SISTEMA] Nave PID 1220 destruida sin recursos. Convertida en asteroide en pos (38, 5).
[SISTEMA] Nave PID 2123 destruida sin recursos. Convertida en asteroide en pos (23, 12).
[SISTEMA] Nave PID 2129 destruida sin recursos. Convertida en asteroide en pos (12, 18).
[SISTEMA] Nave PID 1873 destruida sin recursos. Convertida en asteroide en pos (8, 4).
[SISTEMA] Nave PID 1879 destruida sin recursos. Convertida en asteroide en pos (19, 17).
[SISTEMA] Nave PID 1885 destruida sin recursos. Convertida en asteroide en pos (8, 4).
[SISTEMA] Nave PID 1891 destruida sin recursos. Convertida en asteroide en pos (11, 18).
[SISTEMA] Nave PID 1897 destruida sin recursos. Convertida en asteroide en pos (8, 4).
[SISTEMA] Nave PID 1740 destruida sin recursos. Convertida en asteroide en pos (20, 12).
[SISTEMA] Nave PID 1746 destruida sin recursos. Convertida en asteroide en pos (59, 11).
[SISTEMA] Nave PID 1752 destruida sin recursos. Convertida en asteroide en pos (30, 3).
[SISTEMA] Nave PID 1758 destruida sin recursos. Convertida en asteroide en pos (65, 10).
[SISTEMA] Nave PID 1764 destruida sin recursos. Convertida en asteroide en pos (25, 18).
[SISTEMA] Nave PID 1988 destruida sin recursos. Convertida en asteroide en pos (73, 6).
[SISTEMA] Nave PID 2014 destruida sin recursos. Convertida en asteroide en pos (36, 19).
[SISTEMA] Nave PID 2020 destruida sin recursos. Convertida en asteroide en pos (56, 4).
[SISTEMA] Nave PID 2057 destruida sin recursos. Convertida en asteroide en pos (24, 19).
[SISTEMA] Nave PID 2063 destruida sin recursos. Convertida en asteroide en pos (37, 6).
[SISTEMA] Nave PID 2113 destruida sin recursos. Convertida en asteroide en pos (54, 6).
[SISTEMA] Nave PID 2119 destruida sin recursos. Convertida en asteroide en pos (29, 12).
[SISTEMA] Nave PID 2185 destruida sin recursos. Convertida en asteroide en pos (29, 16).
[SISTEMA] Nave PID 2191 destruida sin recursos. Convertida en asteroide en pos (46, 14).
[SISTEMA] Nave PID 2274 destruida sin recursos. Convertida en asteroide en pos (51, 16).
[SISTEMA] Nave PID 2530 destruida sin recursos. Convertida en asteroide en pos (36, 15).
[SISTEMA] Nave PID 2567 destruida sin recursos. Convertida en asteroide en pos (69, 1).
[SISTEMA] Nave PID 2579 destruida sin recursos. Convertida en asteroide en pos (74, 22).
[SISTEMA] Nave PID 2585 destruida sin recursos. Convertida en asteroide en pos (19, 6).
[SISTEMA] Nave PID 2617 destruida sin recursos. Convertida en asteroide en pos (60, 11).
[SISTEMA] Nave PID 2631 destruida sin recursos. Convertida en asteroide en pos (58, 11).
[SISTEMA] Nave PID 2637 destruida sin recursos. Convertida en asteroide en pos (75, 16).
[SISTEMA] Nave PID 2649 destruida sin recursos. Convertida en asteroide en pos (62, 11).
[SISTEMA] Nave PID 37531 destruida sin recursos. Convertida en asteroide en pos (15, 18).
[SISTEMA] Nave PID 37670 destruida sin recursos. Convertida en asteroide en pos (34, 20).
[SISTEMA] Nave PID 37850 destruida sin recursos. Convertida en asteroide en pos (25, 9).
[SISTEMA] Nave PID 38301 destruida sin recursos. Convertida en asteroide en pos (67, 23).
[SISTEMA] Nave PID 44266 destruida sin recursos. Convertida en asteroide en pos (58, 9).
[SISTEMA] Nave PID 44354 destruida sin recursos. Convertida en asteroide en pos (59, 9).
[SISTEMA] Nave PID 46413 destruida sin recursos. Convertida en asteroide en pos (36, 10).
[SISTEMA] Nave PID 48492 destruida sin recursos. Convertida en asteroide en pos (63, 16).
[SISTEMA] Nave PID 52082 destruida sin recursos. Convertida en asteroide en pos (30, 11).
[SISTEMA] Nave PID 53758 destruida sin recursos. Convertida en asteroide en pos (46, 6).
[SISTEMA] Nave PID 60747 destruida sin recursos. Convertida en asteroide en pos (27, 18).
[SISTEMA] Nave PID 60772 destruida sin recursos. Convertida en asteroide en pos (26, 16).
[SISTEMA] Nave PID 61776 destruida sin recursos. Convertida en asteroide en pos (28, 18).
[SISTEMA] Nave PID 62034 destruida sin recursos. Convertida en asteroide en pos (70, 9).
[SISTEMA] Nave PID 62348 destruida sin recursos. Convertida en asteroide en pos (34, 21).
[SISTEMA] Nave PID 62682 destruida sin recursos. Convertida en asteroide en pos (19, 9).
[SISTEMA] Nave PID 63009 destruida sin recursos. Convertida en asteroide en pos (56, 9).
[SISTEMA] Nave PID 63130 destruida sin recursos. Convertida en asteroide en pos (60, 18).
[SISTEMA] Nave PID 63344 destruida sin recursos. Convertida en asteroide en pos (55, 11).
[SISTEMA] Nave PID 63584 destruida sin recursos. Convertida en asteroide en pos (32, 22).
[SISTEMA] Nave PID 65278 destruida sin recursos. Convertida en asteroide en pos (16, 14).
[SISTEMA] Nave PID 67232 destruida sin recursos. Convertida en asteroide en pos (47, 12).
[SISTEMA] Nave PID 67195 destruida sin recursos. Convertida en asteroide en pos (44, 5).
[SISTEMA] Nave PID 67349 destruida sin recursos. Convertida en asteroide en pos (23, 15).
[SISTEMA] Nave PID 67475 destruida sin recursos. Convertida en asteroide en pos (73, 15).
[SISTEMA] Nave PID 67607 destruida sin recursos. Convertida en asteroide en pos (19, 19).
[SISTEMA] Nave PID 67794 destruida sin recursos. Convertida en asteroide en pos (70, 7).
[SISTEMA] Nave PID 67964 destruida sin recursos. Convertida en asteroide en pos (62, 18).
[SISTEMA] Nave PID 68077 destruida sin recursos. Convertida en asteroide en pos (68, 11).
[SISTEMA] Nave PID 69401 destruida sin recursos. Convertida en asteroide en pos (38, 14).
[SISTEMA] Nave PID 69479 destruida sin recursos. Convertida en asteroide en pos (26, 12).
[SISTEMA] Nave PID 70054 destruida sin recursos. Convertida en asteroide en pos (63, 14).
[SISTEMA] Nave PID 71676 destruida sin recursos. Convertida en asteroide en pos (11, 4).
[SISTEMA] Nave PID 72305 destruida sin recursos. Convertida en asteroide en pos (77, 21).
[SISTEMA] Nave PID 74926 destruida sin recursos. Convertida en asteroide en pos (68, 16).
[SISTEMA] Nave PID 75034 destruida sin recursos. Convertida en asteroide en pos (62, 21).
[SISTEMA] Nave PID 76220 destruida sin recursos. Convertida en asteroide en pos (4, 21).
[SISTEMA] Nave PID 9358 destruida sin recursos. Convertida en asteroide en pos (20, 6).
[SISTEMA] Nave PID 9364 destruida sin recursos. Convertida en asteroide en pos (48, 11).
[SISTEMA] Nave PID 9370 destruida sin recursos. Convertida en asteroide en pos (75, 2).
[SISTEMA] Nave PID 9390 destruida sin recursos. Convertida en asteroide en pos (39, 3).
[SISTEMA] Nave PID 9397 destruida sin recursos. Convertida en asteroide en pos (62, 14).
[SISTEMA] Nave PID 9405 destruida sin recursos. Convertida en asteroide en pos (21, 17).
[SISTEMA] Nave PID 9415 destruida sin recursos. Convertida en asteroide en pos (62, 15).
[SISTEMA] Nave PID 9421 destruida sin recursos. Convertida en asteroide en pos (40, 5).
[SISTEMA] Nave PID 9427 destruida sin recursos. Convertida en asteroide en pos (20, 18).
[SISTEMA] Nave PID 9433 destruida sin recursos. Convertida en asteroide en pos (49, 9).
[SISTEMA] Nave PID 9460 destruida sin recursos. Convertida en asteroide en pos (45, 2).
[SISTEMA] Nave PID 9470 destruida sin recursos. Convertida en asteroide en pos (50, 18).
[SISTEMA] Nave PID 9476 destruida sin recursos. Convertida en asteroide en pos (52, 10).
[SISTEMA] Nave PID 9483 destruida sin recursos. Convertida en asteroide en pos (52, 11).
[SISTEMA] Nave PID 9489 destruida sin recursos. Convertida en asteroide en pos (50, 18).
[SISTEMA] Nave PID 9501 destruida sin recursos. Convertida en asteroide en pos (50, 11).
[SISTEMA] Nave PID 9507 destruida sin recursos. Convertida en asteroide en pos (39, 18).
[SISTEMA] Nave PID 2875 destruida sin recursos. Convertida en asteroide en pos (23, 11).
